mandarin,pinyin_tones,pinyin_no_tones,tones,definition,learning_aid,example,difficulty,time_added
什么,shénme,shenme,2-5,what (question),the one with the cross - people said what! when jesus was resurrected (don't judge my way of learning stuff),这是什么？,2,1666373035
谁,shéi,shei,2,who (question),the one with the 4 lines,你是谁？,3,1666373035
这,zhè,zhe,4,this,,这是我的狗,2,1666373035
那,nà,na,4,that,,那个包系,3,1666373035
哪,nă,na,3,which (question word),那+preceding box,你是哪国人？ (where are you from? - <you are which country person>),3,1666373035
都,dōu,dou,1,all/both,,我们都喜欢狗,3,1666373035
和,hé,he,2,and/with,tree line box,我喜欢咖啡和茶,2,1666373035
也,yĕ,ye,3,also,,我也叫 Alex,2,1666373035
对,duì,dui,4,correct/right!,,,3,1666373035
们,mén,men,2,pluraliser for persons,the one with J at the end,他们都叫 Alex,2,1666373035
我们,wŏmen,women,3-5,we,i+pluraliser 们,我们不叫 Alex,2,1666373035
的,de,de,5,particle (in context of names it is possessive suffix),very common - should know by heart,我的狗,2,1666373035
我的,wŏde,wode,3-5,my,i+possessive 的,这不是我的狗！,2,1666373035
他,tā,ta,1,he,man+也,他是我兄弟,2,1666373035
她,tā,ta,1,she,woman+也,她是我太太,2,1666373035
名,míng,ming,2,name,has mouth particle 口,你叫什么名字？,2,1666373035
字,zi,zi,5,word/character/random particle,study with one 点,名字,1,1666373035
名字,míngzi,mingzi,2-5,name,name+particle,我的名字是 Alex,2,1666373035
叫,jiào,jiao,4,to be called / to call (name wise),contains mouth radical 口,我叫 Alex,1,1666373035
贵,guì,gui,4,honourable/expensive,中+line+见,这是太贵了,3,1666373035
姓,xìng,xing,4,to have as a surname,woman+life (you're mum gave you life - you took her surname),贵姓？,3,1666373035
太,tài,tai,4,too/very much/excessively,big+点,这太小了,1,1666373035
知,zhī,zhi,1,to know,NOT the tree + 口,我不知道,2,1666373035
道,dào,dao,4,way/quantifier for linear projections e.g. orders from authority. as part of zhīdao,squiggly i with tripple box line cat ears,我知道,3,1666373035
知道,zhīdao,zhidao,1-5,to know/be aware of/realise,beware of tone of 道 and the difference to 认识,我知道那,3,1666373035
人,rén,ren,2,people,kinda looks like the legs of a person,我是英国人,1,1666373035
